onset	duration	condition
2.064	45.069	citric_acid
47.133	0	rinse
62.132	35.966	tasteless
98.098	0	rinse
113.097	53.941	MPG
167.038	0	rinse
182.03	44.941	tasteless
226.971	0	rinse
241.946	35.99	Sucrose
277.936	0	rinse
292.943	44.958	tasteless
337.901	0	rinse
352.9	53.965	NaCl
406.865	0	rinse
421.872	44.99	citric_acid
466.862	0	rinse
481.877	53.9809999999999	tasteless
535.858	0	rinse
550.865	35.998	NaCl
586.863	0	rinse
601.878	45.0369999999999	Sucrose
646.915	0	rinse
661.914	44.998	MPG
706.912	0	rinse
