onset	duration	condition
2.027	45.021	MPG
47.048	0	rinse
62.049	44.968	tasteless
107.017	0	rinse
122.016	45.009	citric_acid
167.025	0	rinse
182.017	44.999	tasteless
227.016	0	rinse
242.033	36.016	NaCl
278.049	0	rinse
293.025	44.976	Sucrose
338.001	0	rinse
352.985	53.968	NaCl
406.953	0	rinse
421.953	53.968	tasteless
475.921	0	rinse
490.921	44.9760000000001	citric_acid
535.897	0	rinse
550.913	35.976	tasteless
586.889	0	rinse
601.897	35.992	Sucrose
637.889	0	rinse
652.897	53.992	MPG
706.889	0	rinse
