onset	duration	condition
2.009	45.079	citric_acid
47.088	0	rinse
62.096	35.992	tasteless
98.088	0	rinse
113.104	53.984	MPG
167.088	0	rinse
182.089	44.999	tasteless
227.088	0	rinse
242.088	36	Sucrose
278.088	0	rinse
293.088	44.993	tasteless
338.081	0	rinse
353.089	53.992	NaCl
407.081	0	rinse
422.089	44.991	citric_acid
467.08	0	rinse
482.097	54.0160000000001	tasteless
536.113	0	rinse
551.113	36.0000000000001	NaCl
587.113	0	rinse
602.113	44.9749999999999	Sucrose
647.088	0	rinse
662.105	44.992	MPG
707.097	0	rinse
