onset	duration	condition
2.029	45.05	MPG
47.079	0	rinse
62.079	45.001	tasteless
107.08	0	rinse
122.08	44.999	citric_acid
167.079	0	rinse
182.08	44.968	tasteless
227.048	0	rinse
242.047	35.969	NaCl
278.016	0	rinse
293.015	44.993	Sucrose
338.008	0	rinse
353.016	53.968	NaCl
406.984	0	rinse
421.984	53.976	tasteless
475.96	0	rinse
490.96	44.967	citric_acid
535.927	0	rinse
550.928	35.968	tasteless
586.896	0	rinse
601.896	35.9920000000001	Sucrose
637.888	0	rinse
652.896	53.9680000000001	MPG
706.864	0	rinse
