onset	duration	condition
2.05	54.047	tasteless
56.097	0	rinse
71.104	45.001	MPG
116.105	0	rinse
131.105	35.984	citric_acid
167.089	0	rinse
182.097	44.976	tasteless
227.073	0	rinse
242.073	44.984	Sucrose
287.057	0	rinse
302.049	36	MPG
338.049	0	rinse
353.066	44.975	NaCl
398.041	0	rinse
413.041	45.009	tasteless
458.05	0	rinse
473.049	53.9920000000001	citric_acid
527.041	0	rinse
542.049	44.9680000000001	NaCl
587.017	0	rinse
602.017	53.9839999999999	Sucrose
656.001	0	rinse
670.985	36	tasteless
706.985	0	rinse
