onset	duration	condition
2.026	45.022	citric_acid
47.048	0	rinse
62.049	35.999	tasteless
98.048	0	rinse
113.049	54	MPG
167.049	0	rinse
182.049	44.999	tasteless
227.048	0	rinse
242.048	35.992	Sucrose
278.04	0	rinse
293.048	44.993	tasteless
338.041	0	rinse
353.057	53.992	NaCl
407.049	0	rinse
422.04	44.977	citric_acid
467.017	0	rinse
482.025	53.9920000000001	tasteless
536.017	0	rinse
551.017	36	NaCl
587.017	0	rinse
602.033	44.9829999999999	Sucrose
647.016	0	rinse
662.033	44.952	MPG
706.985	0	rinse
