onset	duration	condition
2.016	45.023	citric_acid
47.039	0	rinse
62.047	36	tasteless
98.047	0	rinse
113.071	54	MPG
167.071	0	rinse
182.071	45.001	tasteless
227.072	0	rinse
242.071	35.992	Sucrose
278.063	0	rinse
293.047	44.969	tasteless
338.016	0	rinse
353.016	54.032	NaCl
407.048	0	rinse
422.048	44.943	citric_acid
466.991	0	rinse
482.007	53.9519999999999	tasteless
535.959	0	rinse
550.96	35.9989999999999	NaCl
586.959	0	rinse
601.96	44.992	Sucrose
646.952	0	rinse
661.927	45.001	MPG
706.928	0	rinse
