onset	duration	condition
2.02800000000001	36.06	tasteless
38.088	0	rinse
53.096	45.016	Sucrose
98.112	0	rinse
113.128	44.984	NaCl
158.112	0	rinse
173.112	35.968	citric_acid
209.08	0	rinse
224.08	35.976	tasteless
260.056	0	rinse
275.056	53.976	Sucrose
329.032	0	rinse
344.024	45	NaCl
389.024	0	rinse
404.041	53.976	tasteless
458.017	0	rinse
473.017	36	MPG
509.017	0	rinse
524.033	53.984	citric_acid
578.017	0	rinse
593.032	44.9839999999999	MPG
638.016	0	rinse
653.024	53.992	tasteless
707.016	0	rinse
