onset	duration	condition
2.021	45.051	citric_acid
47.072	0	rinse
62.08	35.992	tasteless
98.072	0	rinse
113.072	53.976	MPG
167.048	0	rinse
182.056	45.016	tasteless
227.072	0	rinse
242.072	35.976	Sucrose
278.048	0	rinse
293.048	45	tasteless
338.048	0	rinse
353.048	53.968	NaCl
407.016	0	rinse
422.016	45	citric_acid
467.016	0	rinse
482.016	53.9999999999999	tasteless
536.016	0	rinse
551.016	35.9680000000001	NaCl
586.984	0	rinse
601.984	44.9689999999999	Sucrose
646.953	0	rinse
661.952	44.976	MPG
706.928	0	rinse
