onset	duration	condition
2.001	45.07	MPG
47.071	0	rinse
62.071	44.913	tasteless
106.984	0	rinse
121.984	44.999	citric_acid
166.983	0	rinse
181.984	45	tasteless
226.984	0	rinse
241.983	36.001	NaCl
277.984	0	rinse
292.983	45.001	Sucrose
337.984	0	rinse
353	53.984	NaCl
406.984	0	rinse
421.984	54	tasteless
475.984	0	rinse
490.984	45.0240000000001	citric_acid
536.008	0	rinse
551.024	36.016	tasteless
587.04	0	rinse
602.04	36.0160000000001	Sucrose
638.056	0	rinse
653.048	53.968	MPG
707.016	0	rinse
