onset	duration	condition
2.051	54.02	tasteless
56.071	0	rinse
71.399	45.392	MPG
116.791	0	rinse
131.791	36	citric_acid
167.791	0	rinse
182.791	44.976	tasteless
227.767	0	rinse
242.767	46.048	Sucrose
288.815	0	rinse
303.831	35.984	MPG
339.815	0	rinse
354.815	45.152	NaCl
399.967	0	rinse
414.967	45.68	tasteless
460.647	0	rinse
475.655	53.9680000000001	citric_acid
529.623	0	rinse
544.624	46.7669999999999	NaCl
591.391	0	rinse
606.391	54.36	Sucrose
660.751	0	rinse
676.615	36.128	tasteless
712.743	0	rinse
