onset	duration	condition
2.01300000000001	54.06	tasteless
56.073	0	rinse
71.072	45	MPG
116.072	0	rinse
131.072	35.985	citric_acid
167.057	0	rinse
182.049	44.999	tasteless
227.048	0	rinse
242.048	44.969	Sucrose
287.017	0	rinse
302.017	36	MPG
338.017	0	rinse
353.017	44.999	NaCl
398.016	0	rinse
413.017	45	tasteless
458.017	0	rinse
473.016	54.001	citric_acid
527.017	0	rinse
542.016	45.0010000000001	NaCl
587.017	0	rinse
602.017	54	Sucrose
656.017	0	rinse
671.017	36.0079999999999	tasteless
707.025	0	rinse
