onset	duration	condition
2.02	54.053	tasteless
56.073	0	rinse
71.088	44.984	MPG
116.072	0	rinse
131.073	35.944	citric_acid
167.017	0	rinse
182.017	45.023	tasteless
227.04	0	rinse
242.04	44.977	Sucrose
287.017	0	rinse
302.033	35.992	MPG
338.025	0	rinse
353.017	45.008	NaCl
398.025	0	rinse
413.017	44.968	tasteless
457.985	0	rinse
472.984	53.9610000000001	citric_acid
526.945	0	rinse
541.952	44.977	NaCl
586.929	0	rinse
601.929	53.9680000000001	Sucrose
655.897	0	rinse
670.897	36	tasteless
706.897	0	rinse
